Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Country,Release_Date,Localized_Title,Censorship_Rating
The Philadelphia Story,1940,"Comedy, Romance",112 min,7.9,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",,1996-03-03,,PG-13
Sleepers,1996,"Crime, Drama, Thriller",147 min,,"After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them a chance for revenge.",Libyan Arab Jamahiriya,2019-02-25,,Unrated
M - Eine Stadt sucht einen Mörder,1931,"Crime, Mystery, Thriller",117 min,8.3,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",French Guiana,2020-05-13,,PG-13
Wo hu cang long,2000,"Action, Adventure, Fantasy",120 min,,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,Gibraltar,2016-11-07,,PG
The Man from Earth,2007,"Drama, Fantasy, Mystery",87 min,7.9,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,Guatemala,2023-10-12,,R
Dangal,2016,"Action, Biography, Drama",161 min,8.4,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Taiwan,2022-06-17,,PG
Celda 211,2009,"Action, Adventure, Crime",113 min,,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",Holy See (Vatican City State),2000-11-22,,Unrated
After Hours,1985,"Comedy, Crime, Drama",97 min,,,,2018-09-03,,G
Batman: Mask of the Phantasm,1993,"Animation, Action, Crime",,,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,Guinea-Bissau,2013-10-28,,Unrated
Fight Club,1999,Drama,139 min,8.8,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",Grenada,2002-04-27,,PG-13
Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",91 min,,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Armenia,2022-07-29,Grass-roots tertiary implementation,PG
A Christmas Story,1983,,93 min,7.9,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",Latvia,1995-12-11,,PG
Festen,1998,Drama,105 min,8.0,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",Central African Republic,2001-11-04,,PG
The Prestige,2006,"Drama, Mystery, Sci-Fi",130 min,8.5,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Costa Rica,2000-12-10,,NC-17
Night of the Living Dead,1968,"Horror, Thriller",96 min,7.9,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,Nepal,2001-02-21,,NC-17
A Streetcar Named Desire,1951,Drama,122 min,8.0,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,Mexico,2007-03-25,,R
Donnie Brasco,1997,"Biography, Crime, Drama",127 min,7.7,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",Mauritius,2014-12-12,,PG-13
Shichinin no samurai,1954,"Action, Adventure, Drama",207 min,8.6,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Colombia,2018-09-17,,PG-13
Stand by Me,1986,"Adventure, Drama",89 min,8.1,,Anguilla,2001-10-15,,Unrated
