Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Available_On,Subscription_Required,Release_Date,Price
Prisoners,2013,"Crime, Drama, Mystery",153 min,8.1,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",,True,2022-06-07,0.0
The Great Escape,1963,"Adventure, Drama, History",172 min,8.2,,Hulu,True,2017-02-02,6.62
The Warriors,1979,"Action, Crime, Thriller",92 min,7.6,,HBO Max,False,2017-03-22,0.0
Cidade de Deus,2002,"Crime, Drama",130 min,8.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Amazon Prime,,2020-10-24,0.0
Tropa de Elite,2007,"Action, Crime, Drama",115 min,8.0,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",Disney+,,,13.29
Lat sau san taam,1992,"Action, Crime, Thriller",128 min,7.8,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.,Disney+,False,2021-02-23,0.0
Goldfinger,1964,"Action, Adventure, Thriller",,7.7,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",HBO Max,True,2016-07-13,
Blade Runner 2049,2017,,164 min,8.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Hulu,True,2018-10-02,12.16
Per un pugno di dollari,1964,"Action, Drama, Western",99 min,8.0,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",,False,,
Hiroshima mon amour,1959,"Drama, Romance",,7.9,,Disney+,False,2019-02-09,0.0
Der Name der Rose,1986,"Crime, Drama, Mystery",130 min,7.7,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.,,True,2022-01-30,
Room,2015,"Drama, Thriller",118 min,8.1,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",Hulu,True,2022-11-30,0.0
Adams æbler,2005,"Comedy, Crime, Drama",,7.8,A neo-nazi sentenced to community service at a church clashes with the blindly devotional priest.,Amazon Prime,True,2021-07-05,1.4
Inglourious Basterds,2009,"Adventure, Drama, War",153 min,8.3,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Netflix,False,2015-09-30,0.0
Miracle on 34th Street,1947,"Comedy, Drama, Family",96 min,7.9,"When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.",,True,2017-08-19,0.0
Oldeuboi,2003,"Action, Drama, Mystery",101 min,,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",,False,2015-06-28,0.0
American Gangster,2007,"Biography, Crime, Drama",157 min,7.8,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",,False,2025-03-29,0.0
Paper Moon,1973,"Comedy, Crime, Drama",102 min,8.1,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",Amazon Prime,True,2022-05-23,0.0
Halloween,1978,"Horror, Thriller",91 min,7.7,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",Hulu,True,2024-05-09,0.0
The Hustler,1961,"Drama, Sport",134 min,8.0,An up-and-coming pool player plays a long-time champion in a single high-stakes match.,Disney+,False,2018-01-07,18.63
Rang De Basanti,2006,"Comedy, Crime, Drama",167 min,8.2,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Amazon Prime,False,2023-12-07,0.0
Alien,1979,,117 min,,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",,False,2018-09-28,0.0
Kingsman: The Secret Service,2014,"Action, Adventure, Comedy",129 min,7.7,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",,,,6.23
Roman Holiday,1953,"Comedy, Romance",118 min,8.0,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,Disney+,True,2024-06-13,
Tôkyô monogatari,1953,Drama,136 min,,"An old couple visit their children and grandchildren in the city, but receive little attention.",HBO Max,True,2015-11-28,0.0
The Thing,1982,"Horror, Mystery, Sci-Fi",109 min,8.1,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,,False,2017-08-10,0.0
Taegukgi hwinalrimyeo,2004,"Action, Drama, War",140 min,,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",,False,2020-11-25,0.0
Låt den rätte komma in,2008,"Crime, Drama, Fantasy",114 min,,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",,True,2020-12-17,0.0
The Apartment,1960,,125 min,8.3,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Disney+,False,2018-10-14,0.0
28 Days Later...,2002,"Drama, Horror, Sci-Fi",113 min,7.6,,Hulu,False,2024-10-24,0.0
Nueve reinas,2000,,,7.9,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").",,,2025-01-08,1.6
Fried Green Tomatoes,1991,Drama,130 min,7.7,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.,,True,2023-02-06,7.96
Vicky Donor,2012,"Comedy, Romance",126 min,7.8,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",Netflix,,2020-04-27,0.0
Metropolis,1927,"Drama, Sci-Fi",153 min,8.3,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Hulu,False,2020-08-29,0.0
Lawrence of Arabia,1962,"Adventure, Biography, Drama",228 min,8.3,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",Amazon Prime,False,,0.0
Thor: Ragnarok,2017,"Action, Adventure, Comedy",130 min,,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",HBO Max,True,,15.2
The Conversation,1974,"Drama, Mystery, Thriller",113 min,7.8,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.",Disney+,,2022-08-21,15.86
Dangal,2016,,161 min,8.4,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Amazon Prime,True,2017-08-27,0.0
Cape Fear,1962,,106 min,7.7,A lawyer's family is stalked by a man he once helped put in jail.,,True,2020-07-05,0.0
Zombieland,2009,,88 min,7.6,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",Amazon Prime,False,,15.17
Kill Bill: Vol. 2,2004,"Action, Crime, Thriller",137 min,8.0,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",,True,2023-08-05,11.9
Platoon,1986,"Drama, War",120 min,8.1,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",,False,2023-04-01,0.0
Hotaru no haka,1988,,89 min,,A young boy and his little sister struggle to survive in Japan during World War II.,,False,2015-06-22,5.14
Darbareye Elly,2009,"Drama, Mystery",119 min,8.0,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,Disney+,True,,0.0
Portrait de la jeune fille en feu,2019,,,8.1,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",,True,2023-01-20,0.0
The 39 Steps,1935,"Crime, Mystery, Thriller",86 min,,"A man in London tries to help a counter-espionage Agent. But when the Agent is killed, and the man stands accused, he must go on the run to save himself and stop a spy ring which is trying to steal top secret information.",HBO Max,,2022-09-15,0.0
Blue Velvet,1986,"Drama, Mystery, Thriller",120 min,7.7,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",Netflix,False,2016-10-29,0.0
The Broken Circle Breakdown,2012,"Drama, Music, Romance",111 min,7.7,"Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial.",,,2021-02-14,0.0
In the Name of the Father,1993,"Biography, Crime, Drama",133 min,8.1,,Amazon Prime,True,,0.0
La Strada,1954,Drama,,8.0,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",Disney+,True,2017-07-08,0.0
Back to the Future Part II,1989,"Adventure, Comedy, Sci-Fi",108 min,7.8,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",HBO Max,False,,0.0
The Bridge on the River Kwai,1957,"Adventure, Drama, War",,8.1,,HBO Max,True,2024-12-02,0.0
Her,2013,"Drama, Romance, Sci-Fi",126 min,,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",,False,2024-07-21,0.0
Apollo 13,PG,"Adventure, Drama, History",140 min,7.6,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,Amazon Prime,True,2017-06-27,0.0
There Will Be Blood,2007,Drama,158 min,8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",HBO Max,,2023-02-03,9.82
Citizen Kane,1941,"Drama, Mystery",119 min,8.3,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",,True,2016-11-19,18.8
Good Bye Lenin!,2003,"Comedy, Drama, Romance",121 min,7.7,,Hulu,False,2024-05-01,7.46
Casablanca,1942,"Drama, Romance, War",102 min,8.5,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Amazon Prime,,2020-11-15,0.0
Nefes: Vatan Sagolsun,2009,"Action, Drama, Thriller",128 min,8.0,Story of 40-man Turkish task force who must defend a relay station.,Disney+,,2021-09-05,0.0
Harry Potter and the Half-Blood Prince,2009,"Action, Adventure, Family",153 min,7.6,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",,False,2015-12-29,0.0
Paan Singh Tomar,2012,"Action, Biography, Crime",135 min,8.2,,,,2022-10-03,
Hunt for the Wilderpeople,2016,"Adventure, Comedy, Drama",101 min,,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,Amazon Prime,False,2021-10-06,0.0
Aladdin,1992,"Animation, Adventure, Comedy",90 min,8.0,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Amazon Prime,False,2025-03-17,7.69
Apocalypto,2006,,139 min,7.8,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",Netflix,False,2021-07-18,0.0
The General,1926,,67 min,8.1,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",Amazon Prime,False,2017-03-17,0.0
Gisaengchung,2019,"Comedy, Drama, Thriller",132 min,8.6,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,HBO Max,,2016-03-24,0.0
Donnie Brasco,1997,"Biography, Crime, Drama",127 min,7.7,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",,True,2020-12-17,0.0
Black Hawk Down,2001,"Drama, History, War",144 min,,160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.,Disney+,True,2015-07-24,14.44
Le dîner de cons,1998,Comedy,80 min,7.7,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise.",Hulu,False,2023-09-27,
Der Himmel über Berlin,1987,"Drama, Fantasy, Romance",128 min,8.0,An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.,Disney+,,2016-11-10,0.0
La montaña sagrada,1973,"Adventure, Drama, Fantasy",114 min,7.9,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",Disney+,True,,0.0
Atonement,2007,"Drama, Mystery, Romance",123 min,,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,,True,2018-01-04,0.0
The Pianist,2002,"Biography, Drama, Music",150 min,8.5,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Netflix,True,,0.0
Höstsonaten,1978,"Drama, Music",,8.2,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.",Amazon Prime,False,2016-08-29,14.71
"Monsters, Inc.",2001,"Animation, Adventure, Comedy",92 min,8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",Amazon Prime,False,,0.0
Who Framed Roger Rabbit,1988,"Animation, Adventure, Comedy",104 min,7.7,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,HBO Max,True,2022-04-20,0.0
Night on Earth,1991,"Comedy, Drama",129 min,7.8,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,Amazon Prime,True,2019-08-03,12.61
(500) Days of Summer,2009,"Comedy, Drama, Romance",95 min,7.7,"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",Netflix,False,2023-03-10,0.0
A Man for All Seasons,1966,"Biography, Drama, History",120 min,7.7,,,True,2019-05-27,0.0
Black,2005,Drama,122 min,,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.",,,2015-07-24,0.0
Le samouraï,1967,"Crime, Drama, Mystery",105 min,8.1,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,,True,2017-12-04,0.0
Ang-ma-reul bo-at-da,2010,"Action, Crime, Drama",144 min,7.8,A secret agent exacts revenge on a serial killer through a series of captures and releases.,Hulu,True,2016-12-11,0.0
The Gentlemen,2019,"Action, Comedy, Crime",113 min,,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",Amazon Prime,,2016-04-06,0.0
Midnight in Paris,2011,"Comedy, Fantasy, Romance",96 min,7.7,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",,False,2020-04-05,0.0
One Flew Over the Cuckoo's Nest,1975,Drama,133 min,8.7,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Netflix,,,
The Kid,1921,"Comedy, Drama, Family",68 min,8.3,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",,True,,16.82
Badhaai ho,2018,,,8.0,A man is embarrassed when he finds out his mother is pregnant.,Disney+,,2018-01-20,0.0
Fargo,1996,"Crime, Drama, Thriller",98 min,,,Netflix,,2020-11-14,12.88
Ed Wood,1994,"Biography, Comedy, Drama",127 min,7.8,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.",,False,,7.95
Dead Man,1995,"Adventure, Drama, Fantasy",,7.6,"On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world.",,False,2019-12-10,0.0
All About Eve,1950,Drama,,,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,HBO Max,False,,10.37
Per qualche dollaro in più,1965,Western,132 min,8.3,Two bounty hunters with the same intentions team up to track down a Western outlaw.,Hulu,False,2017-05-29,0.0
The Boy in the Striped Pyjamas,2008,"Drama, History, War",94 min,7.8,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",HBO Max,False,2015-05-06,0.0
Straight Outta Compton,2015,"Biography, Drama, History",147 min,7.8,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",Netflix,True,2019-11-09,5.05
To Kill a Mockingbird,1962,"Crime, Drama",129 min,8.2,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",Disney+,True,2019-01-26,0.0
Kakushi-toride no san-akunin,1958,"Adventure, Drama",139 min,8.1,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",,,2022-02-02,
Changeling,2008,,141 min,7.7,Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child.,,False,2015-09-01,
Shadow of a Doubt,1943,"Film-Noir, Thriller",108 min,7.8,"A young girl, overjoyed when her favorite uncle comes to visit the family, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities.",,True,2022-07-30,0.0
Wind River,2017,,107 min,7.7,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,Netflix,False,2024-10-12,0.0
Ghostbusters,1984,"Action, Comedy, Fantasy",105 min,7.8,Three former parapsychology professors set up shop as a unique ghost removal service.,Disney+,False,2019-08-11,14.55
Lethal Weapon,1987,,109 min,7.6,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,,True,2017-10-19,0.0
Boogie Nights,1997,Drama,155 min,7.9,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",Amazon Prime,,2019-08-10,0.0
The Muppet Movie,1979,"Adventure, Comedy, Family",95 min,7.6,"Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit.",Amazon Prime,False,2024-02-18,6.88
Nuovo Cinema Paradiso,1988,"Drama, Romance",155 min,,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Netflix,True,2015-10-10,0.0
Celda 211,2009,"Action, Adventure, Crime",113 min,7.6,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",Hulu,True,2025-01-24,18.59
Der Untergang,2004,"Biography, Drama, History",156 min,8.2,,,False,2021-11-06,0.0
Deliverance,1972,"Adventure, Drama, Thriller",109 min,7.7,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",,,2021-11-26,0.0
Die Hard,1988,,132 min,8.2,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,Netflix,True,2021-07-25,16.32
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",124 min,8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",Hulu,False,2022-02-01,0.0
The Bourne Identity,2002,"Action, Mystery, Thriller",119 min,,,,,2018-02-12,0.0
Once Upon a Time in the West,1968,,165 min,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Hulu,False,2018-09-06,
Omohide poro poro,1991,"Animation, Drama, Romance",118 min,7.6,A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.,Hulu,False,2021-08-29,0.0
Finding Neverland,2004,"Biography, Drama, Family",106 min,7.6,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,,False,2018-06-08,
Mulholland Dr.,2001,,147 min,7.9,,Disney+,False,2023-11-10,3.41
The Hurricane,1999,"Biography, Drama, Sport",146 min,,"The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence.",Netflix,False,2020-04-06,
Bir Zamanlar Anadolu'da,2011,"Crime, Drama",157 min,,A group of men set out in search of a dead body in the Anatolian steppes.,Amazon Prime,True,,3.96
Chinatown,1974,"Drama, Mystery, Thriller",130 min,8.1,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",Hulu,True,2023-06-15,0.0
Scarface: The Shame of the Nation,1932,"Action, Crime, Drama",93 min,7.8,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.",Netflix,False,2022-06-09,9.01
Dark Waters,2019,"Biography, Drama, History",126 min,7.6,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,,False,2017-02-10,3.71
Gran Torino,2008,Drama,116 min,,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",HBO Max,False,2025-01-15,0.0
La vita è bella,1997,"Comedy, Drama, Romance",116 min,8.6,,Hulu,True,2017-03-04,0.0
Lola rennt,1998,,81 min,7.6,,,False,2024-03-06,5.18
Anatomy of a Murder,1959,"Crime, Drama, Mystery",161 min,8.0,,Disney+,True,2021-05-08,8.17
Minority Report,2002,"Action, Crime, Mystery",,7.6,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",,False,2018-05-14,0.0
Sin City,2005,"Crime, Thriller",124 min,8.0,"A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption.",,False,2016-03-28,0.0
Mary and Max,2009,"Animation, Comedy, Drama",92 min,8.1,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",Amazon Prime,True,2022-12-18,3.32
The Departed,2006,"Crime, Drama, Thriller",151 min,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Disney+,False,,0.0
The Bridges of Madison County,1995,"Drama, Romance",135 min,7.6,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,Amazon Prime,False,2022-02-20,0.0
Kal Ho Naa Ho,2003,"Comedy, Drama, Musical",186 min,8.0,,,True,,0.0
Isle of Dogs,2018,"Animation, Adventure, Comedy",101 min,7.9,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",Netflix,False,2020-06-24,0.0
Trois couleurs: Blanc,1994,,92 min,7.6,"After his wife divorces him, a Polish immigrant plots to get even with her.",,,2018-08-07,0.0
Enter the Dragon,1973,,102 min,7.7,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.,Amazon Prime,True,2019-11-16,0.0
Mary Poppins,1964,"Comedy, Family, Fantasy",139 min,7.8,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",HBO Max,True,2019-06-16,0.0
Ordinary People,1980,,124 min,7.7,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.",,,2015-09-12,
Sherlock Jr.,1924,"Action, Comedy, Romance",45 min,8.2,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Disney+,False,2025-02-02,0.0
Where Eagles Dare,1968,"Action, Adventure, War",158 min,7.7,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.",HBO Max,True,2019-08-14,
Peeping Tom,1960,"Drama, Horror, Thriller",,,"A young man murders women, using a movie camera to film their dying expressions of terror.",Hulu,True,2018-05-29,0.0
Shaun of the Dead,2004,,,7.9,A man's uneventful life is disrupted by the zombie apocalypse.,Netflix,True,2020-06-19,1.94
Dazed and Confused,1993,Comedy,,7.6,The adventures of high school and junior high students on the last day of school in May 1976.,Disney+,True,2022-02-06,0.0
Withnail & I,1987,"Comedy, Drama",107 min,7.7,"In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous.",Hulu,True,2025-03-15,0.0
M.S. Dhoni: The Untold Story,2016,"Biography, Drama, Sport",184 min,7.8,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,,False,2015-05-09,
Falling Down,1993,,113 min,7.6,An ordinary man frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them.,,,2020-10-02,15.22
L.A. Confidential,1997,"Crime, Drama, Mystery",138 min,8.2,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Netflix,True,2020-06-13,9.46
Kick-Ass,2010,"Action, Comedy, Crime",117 min,7.6,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",HBO Max,True,2022-01-03,0.0
V for Vendetta,2005,,,8.2,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",Hulu,True,2023-11-24,
Happiness,1998,"Comedy, Drama",134 min,7.7,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",Disney+,False,2020-02-10,0.0
Blowup,1966,"Drama, Mystery, Thriller",111 min,7.6,,Disney+,True,2018-12-01,19.98
Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Family, Fantasy",146 min,,"As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.",,True,2017-03-09,18.81
Taxi Driver,1976,"Crime, Drama",114 min,8.3,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",Amazon Prime,False,2018-04-13,0.0
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Drama, Fantasy",130 min,8.1,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",HBO Max,True,2023-02-24,0.0
E.T. the Extra-Terrestrial,1982,,,7.8,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,Amazon Prime,False,2019-04-08,0.0
Reservoir Dogs,1992,"Crime, Drama, Thriller",99 min,,,HBO Max,False,2018-06-27,0.0
The Last Picture Show,1971,,118 min,8.0,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",Disney+,True,2023-11-14,0.0
The Exorcist,1973,,122 min,8.0,,,,2019-03-09,
The Hangover,2009,Comedy,100 min,7.7,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",HBO Max,True,2021-03-09,0.0
Loving Vincent,2017,"Animation, Biography, Crime",94 min,,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there.",HBO Max,,,0.0
Lost in Translation,2003,"Comedy, Drama",,7.7,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,,False,2023-05-26,
